ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01865-00004,U.S.O.P. Gospel,U.S.O.P. Gospel -- Spring '93,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00005,U.S.O.P. Gospel Choir at S.F.S.U.,"""On The Battlefield"" Concert",cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00006,,USOP Soprano's Master Tape (Originals) 1/30/98,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00007,,Untitled,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00008,,Talking Tape,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00009,Adele Uddo,You Need Me in Your Eyes,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00010,,Case Of You (Rico's House),cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01865-00011,Various,1993 Love Tape,cass,del,CD,,,12/17/2014,,,The Body That Loves You (JJ),Anytime (Janet Jackson),Givin' My All (Jonnie Gill),Lady Dujour (Jonnie Gill),Uhh Ahh (Boyz II Men),Joy in Repitition (Prince),Feels Like Heaven (Kenny V),Please Don't Go (Boyz II Men),"Reasons (Earth, Wind, Fire)",Secret Garden,Slow Down (Mary J Blige),After the Dance (Marvin G.),Baby Come 2 Me (Regina B.),Let's Spend the Night (Jonnie G.),Anything in this World (Lenny K.),International Love (Prince),Music Box (Mariah Carey),All I've Ever Wanted (Mariah),,,,,,,,,,
01865-00012,,Ectasy + I'm Threw Playing Games,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01882-00001,Zazen,Samurai,cass,del,CD,,,12/17/2014,,,The Samurai Prepares,The Samurai Confronts Himself,The Samurai in Battle,The Emptiness of Life,The Emptiness of Space,Transience,After Battle,Completion is Beginning Again,The Sword of the Samurai,Surprise Attack,Samurai's Victory Song,Elegance in Combat,Defeating Death,Merging with the Tao,,,,,,,,,,,,,,
01882-00002,Zazen,Mandala of Light,cass,del,CD,,,12/17/2014,,,Morning,Noon,Sunset,,,,,,,,,,,,,,,,,,,,,,,,,
01882-00003,Zazen,Atlantis Rising,cass,del,CD,,,12/17/2014,,,Crystal Dome,Wizard,Telepathy,Temple of Atlantis,Sundial,Atlantis Rising: 1) The Fall,Atlantis Rising: 2) Regeneration,,,,,,,,,,,,,,,,,,,,,
01882-00004,Zazen,Light Saber,cass,del,CD,,,12/17/2014,,,Shire Dance,Journey to Mordor,Song of the Cave Dwarves,Gandalf the Wizard,Entmont,Bilbo's Song - The Road Goes On and On,Hobbit Plane,Lothlorien,Light Saber,,,,,,,,,,,,,,,,,,,
